LGL Constituent ID,Constituent Name,Constituent Type,Contact Type,Prefix,First Name,Last Name,Middle Name,Maiden name,Suffix,Nick Name,Addressee,Annual Report Name,Spouse Name,Spouse Nick Name,Salutation,Alt. Addressee,Alt. Salutation,Honorary Name,Assistant Name,Job Title,Org Name,Groups,Communication Tags,Giving Status,Acknowledgment Preference,Newsletter,Tags,Background Info,Deceased?,Deceased Date,Date Added
944092,Tony Cox,Individual,Primary,,Tony,Cox,,,,,Tony Cox,Tony Cox,,,Tony,Tony Cox,Tony,Tony Cox,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944097,Michael Miller,Individual,Primary,,Michael,Miller,,,,,Michael Miller,Michael Miller,,,Michael,Michael Miller,Michael,Michael Miller,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944102,Edward Lollis,Individual,Primary,,Edward (Ted),Lollis,,,,,Edward Lollis,Edward Lollis,,,Edward,Edward Lollis,Edward,Edward Lollis,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944107,Kaylee Dyer,Individual,Primary,,Kaylee,Dyer,,,,,Kaylee Dyer,Kaylee Dyer,,,Kaylee,Kaylee Dyer,Kaylee,Kaylee Dyer,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944112,Billy Radford,Individual,Primary,,Billy,Radford,,,,,Billy Radford,Billy Radford,,,Billy,Billy Radford,Billy,Billy Radford,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944117,Alex VerBerkmoes,Individual,Primary,,Alex,VerBerkmoes,,,,,Alex VerBerkmoes,Alex VerBerkmoes,,,Alex,Alex VerBerkmoes,Alex,Alex VerBerkmoes,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944122,Scott Colthorp,Individual,Primary,,Scott,Colthorp,,,,,Scott Colthorp,Scott Colthorp,,,Scott,Scott Colthorp,Scott,Scott Colthorp,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944127,Molly Triscritti,Individual,Primary,,Molly,Triscritti,,,,,Molly Triscritti,Molly Triscritti,,,Molly,Molly Triscritti,Molly,Molly Triscritti,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944132,Elliot Leanza,Individual,Primary,,Elliot,Leanza,,,,,Elliot Leanza,Elliot Leanza,,,Elliot,Elliot Leanza,Elliot,Elliot Leanza,,,,,No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944137,Alyssa Frohock,Individual,Primary,,Alyssa,Frohock,,,,,Alyssa Frohock,Alyssa Frohock,,,Alyssa,Alyssa Frohock,Alyssa,Alyssa Frohock,,,,,No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944142,Janine Al-Aseer,Individual,Primary,,Janine,Al-Aseer,,,,,Janine Al-Aseer,Janine Al-Aseer,,,Janine,Janine Al-Aseer,Janine,Janine Al-Aseer,,,,,No valid address;No valid phone,Non Donor,,Subscribe,VCO-Email,"on open house committee
",No,,2020-03-19
944147,Don Safer,Individual,Primary,,Don,Safer,,,,,Don Safer,Don Safer,,,Don,Don Safer,Don,Don Safer,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944152,Deann Dyke?,Individual,Primary,,Deann,Dyke?,,,,,Deann Dyke?,Deann Dyke?,,,Deann,Deann Dyke?,Deann,Deann Dyke?,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944157,David Bruno,Individual,Primary,,David,Bruno,,,,,David Bruno,David Bruno,,,David,David Bruno,David,David Bruno,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944162,Kevin Ruiz,Individual,Primary,,Kevin,Ruiz,,,,,Kevin Ruiz,Kevin Ruiz,,,Kevin,Kevin Ruiz,Kevin,Kevin Ruiz,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944167,Eric Rominger,Individual,Primary,,Eric,Rominger,,,,,Eric Rominger,Eric Rominger,,,Eric,Eric Rominger,Eric,Eric Rominger,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944172,Steven Stiefel,Individual,Primary,,Steven,Stiefel,,,,,Steven Stiefel,Steven Stiefel,,,Steven,Steven Stiefel,Steven,Steven Stiefel,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944177,Dan Williams,Individual,Primary,,Dan,Williams,,,,,Dan Williams,Dan Williams,,,Dan,Dan Williams,Dan,Dan Williams,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944182,Tom Caldwell,Individual,Primary,,Tom,Caldwell,,,,,Tom Caldwell,Tom Caldwell,,,Tom,Tom Caldwell,Tom,Tom Caldwell,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944187,Lauren Madewell,Individual,Primary,,Lauren,Madewell,,,,,Lauren Madewell,Lauren Madewell,,,Lauren,Lauren Madewell,Lauren,Lauren Madewell,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944192,Nolan Orndorf,Individual,Primary,,Nolan,Orndorf,,,,,Nolan Orndorf,Nolan Orndorf,,,Nolan,Nolan Orndorf,Nolan,Nolan Orndorf,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944197,T.J. Graveline,Individual,Primary,,Thomas,Graveline,,,,,T.J. Graveline,T.J. Graveline,,,T.J.,T.J. Graveline,T.J.,T.J. Graveline,,,,,No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944202,Carol Bell,Individual,Primary,,Carol,Bell,,,,,Carol Bell,Carol Bell,,,Carol,Carol Bell,Carol,Carol Bell,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,"sends me a emails
",No,,2020-03-19
944207,Lauren Hansard,Individual,Primary,,Lauren,Hansard,,,,,Lauren Hansard,Lauren Hansard,,,Lauren,Lauren Hansard,Lauren,Lauren Hansard,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944212,Karen Oland,Individual,Primary,,Karen,Oland,,,,,Karen Oland,Karen Oland,,,Karen,Karen Oland,Karen,Karen Oland,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944217,Analise Osorio,Individual,Primary,,Analise,Osorio,,,,,Analise Osorio,Analise Osorio,,,Analise,Analise Osorio,Analise,Analise Osorio,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944222,Justin Johnson,Individual,Primary,,Justin,Johnson,,,,,Justin Johnson,Justin Johnson,,,Justin,Justin Johnson,Justin,Justin Johnson,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944227,Ben Steltenkamp,Individual,Primary,,Ben,Steltenkamp,,,,,Ben Steltenkamp,Ben Steltenkamp,,,Ben,Ben Steltenkamp,Ben,Ben Steltenkamp,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944232,Margeaux Emery,Individual,Primary,,Margeaux,Emery,,,,,Margeaux Emery,Margeaux Emery,,,Margeaux,Margeaux Emery,Margeaux,Margeaux Emery,,,,Mutual tours,No valid address;No valid phone,Top 100 Donor;Active Donor,,Subscribe,,,No,,2020-03-19
944237,Ann Aiken,Individual,Primary,,Ann,Aiken,,,,,Ann Aiken,Ann Aiken,,,Ann,Ann Aiken,Ann,Ann Aiken,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944242,Shannon Johnson,Individual,Primary,,Shannon,Johnson,,,,,Shannon Johnson,Shannon Johnson,,,Shannon,Shannon Johnson,Shannon,Shannon Johnson,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944247,Sam Smith,Individual,Primary,,Sam,Smith,,,,,Sam Smith,Sam Smith,,,Sam,Sam Smith,Sam,Sam Smith,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944252,Gene Maddox,Individual,Primary,,Gene,Maddox,,,,,Gene Maddox,Gene Maddox,,,Gene,Gene Maddox,Gene,Gene Maddox,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944257,Deno Cole,Individual,Primary,,Deno,Cole,,,,,Deno Cole,Deno Cole,,,Deno,Deno Cole,Deno,Deno Cole,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944262,Ashlyn Anderson,Individual,Primary,,Ashlyn,Anderson,,,,,Ashlyn Anderson,Ashlyn Anderson,,,Ashlyn,Ashlyn Anderson,Ashlyn,Ashlyn Anderson,,,,,No valid address,Non Donor,,Subscribe,,,No,,2020-03-19
944267,Jim Davis,Individual,Primary,,Jim,Davis,,,,,Jim Davis,Jim Davis,,,Jim,Jim Davis,Jim,Jim Davis,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944272,Evelyn Winther,Individual,Primary,,Evelyn,Winther,,,,,Evelyn Winther,Evelyn Winther,,,Evelyn,Evelyn Winther,Evelyn,Evelyn Winther,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944277,Daniel Buchanan,Individual,Primary,"",Daniel,Buchanan,"","",,"",Daniel Buchanan,Daniel Buchanan,Cyndi Buchanan,"",Daniel,Daniel Buchanan,Daniel,Daniel Buchanan,,"","",,No valid address;No valid phone,Non Donor,,Subscribe,,"PC support, some software dev
",No,,2020-03-19
944282,Judy Johnson,Individual,Primary,,Judy,Johnson,,,,,Judy Johnson,Judy Johnson,,,Judy,Judy Johnson,Judy,Judy Johnson,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944287,Denis Gould,Individual,Primary,,Denis,Gould,,,,,Denis Gould,Denis Gould,,,Denis,Denis Gould,Denis,Denis Gould,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944292,Monica Rifenberrick,Individual,Primary,"",Monica,Rifenberrick,"","",,"",Monica Rifenberrick,Monica Rifenberrick,"","",Monica,Monica Rifenberrick,Monica,Monica Rifenbettick,,"","",,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944297,Rita Hillstead,Individual,Primary,,Rita,Hillstead,,,,,Rita Hillstead,Rita Hillstead,,,Rita,Rita Hillstead,Rita,Rita Hillstead,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944302,Tyler Blankenship,Individual,Primary,,Tyler,Blankenship,,,,,Tyler Blankenship,Tyler Blankenship,,,Tyler,Tyler Blankenship,Tyler,Tyler Blankenship,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944307,Jessi Long,Individual,Primary,,Jessi,Long,,,,,Jessi Long,Jessi Long,,,Jessi,Jessi Long,Jessi,Jessi Long,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944312,Meghan Shemwell,Individual,Primary,,Meghan,Shemwell,,,,,Meghan Shemwell,Meghan Shemwell,,,Meghan,Meghan Shemwell,Meghan,Meghan Shemwell,,,,,No valid address,Non Donor,,Subscribe,,,No,,2020-03-19
944317,Dawn Bathon,Individual,Primary,,Dawn,Bathon,,,,,Dawn Bathon,Dawn Bathon,,,Dawn,Dawn Bathon,Dawn,Dawn Bathon,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944322,Miles Cary,Individual,Primary,,Miles,Cary,,,,,Miles Cary,Miles Cary,,,Miles,Miles Cary,Miles,Miles Cary,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944327,Emily Ellis,Individual,Primary,"",Emily,Ellis,"","",,"",Emily Ellis,Emily Ellis,"","",Emily,Emily Ellis,Emily,Emily Ellis,,"","",,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944332,John Atkins,Individual,Primary,,John,Atkins,,,,,John Atkins,John Atkins,,,John,John Atkins,John,John Atkins,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,from solar,No,,2020-03-19
944337,Buddy Love,Individual,Primary,,Buddy Love,,,,,,Buddy Love,Buddy Love,,,Buddy,Buddy Love,Buddy,Buddy Love,,,,,No valid address,Non Donor,,Subscribe,,"unsubscribed from Mailchimp, yet open LGL newsletter
",No,,2020-03-19
944342,Jeff Eastman,Individual,Primary,,Jeff,Eastman,,,,,Jeff Eastman,Jeff Eastman,,,Jeff,Jeff Eastman,Jeff,Jeff Eastman,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944347,Dawn Levy,Individual,Primary,,Dawn,Levy,,,,,Dawn Levy,Dawn Levy,,,Dawn,Dawn Levy,Dawn,Dawn Levy,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944352,Donald Neustadt,Individual,Primary,,Donald,Neustadt,,,,,Donald Neustadt,Donald Neustadt,,,Donald,Donald Neustadt,Donald,Donald Neustadt,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944357,Stacy Dalton,Individual,Primary,,Stacy,Dalton,,,,,Stacy Dalton,Stacy Dalton,,,Stacy,Stacy Dalton,Stacy,Stacy Dalton,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944362,Peggy Harper,Individual,Primary,,Peggy,Harper,,,,,Peggy Harper,Peggy Harper,,,Peggy,Peggy Harper,Peggy,Peggy Harper,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944367,Carla Zandstra,Individual,Primary,,Carla,Zandstra,,,,,Carla Zandstra,Carla Zandstra,,,Carla,Carla Zandstra,Carla,Carla Zandstra,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944372,Rose Kooshian,Individual,Primary,,Rose,Kooshian,,,,,Rose Kooshian,Rose Kooshian,,,Rose,Rose Kooshian,Rose,Rose Kooshian,,,,,No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944377,Joe Lines,Individual,Primary,,Joe,Lines,,,,,Joe Lines,Joe Lines,,,Joe,Joe Lines,Joe,Joe Lines,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944382,John Hockman,Individual,Primary,,John,Hockman,,,,,John Hockman,John Hockman,,,John,John Hockman,John,John Hockman,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944387,Nicky Ozbek,Individual,Primary,,Nicky,Ozbek,,,,,Nicky Ozbek,Nicky Ozbek,,,Nicky,Nicky Ozbek,Nicky,Nicky Ozbek,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944392,William Haynes,Individual,Primary,,William,Haynes,,,,,William Haynes,William Haynes,,,William,William Haynes,William,William Haynes,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944397,Jenna Higbie,Individual,Primary,,Jenna,Higbie,,,,,Jenna Higbie,Jenna Higbie,,,Jenna,Jenna Higbie,Jenna,Jenna Higbie,,,,,No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944402,Connie Brodish,Individual,Primary,,Connie,Brodish,,,,,Connie Brodish,Connie Brodish,,,Connie,Connie Brodish,Connie,Connie Brodish,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,":2020-05-01: WUUC - last open April 1st, 2019",No,,2020-03-19
944407,Dean Wood,Individual,Primary,,Dean,Wood,,,,,Dean Wood,Dean Wood,,,Dean,Dean Wood,Dean,Dean Wood,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944412,Thad Shows,Individual,Primary,,Thad,Shows,,,,,Thad Shows,Thad Shows,,,Thad,Thad Shows,Thad,Thad Shows,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944417,Nikhila Levinski,Individual,Primary,"",Nikhila,Levinski,"","",,Martha,Nikhila Levinski,Nikhila Levinski,Hanuman Levinski,"",Nikhila,Nikhila Levinski,Nikhila,Nikhila Levinski,,"","",Mutual tours,,Non Donor,,Subscribe,,":2020-07-02: organized Chicago trip to see Amma, have been Amma for many decades.
",No,,2020-03-19
944422,James Artman,Individual,Primary,,James,Artman,,,,,James Artman,James Artman,,,James,James Artman,James,James Artman,,,,,,Non Donor,,Subscribe,Instructor,"functional medicine, mushrooms, former sniper
",No,,2020-03-19
944427,Marie William,Individual,Primary,"",Marie,Williams,"","",,"",Marie William,Marie William,"","",Marie,Marie William,Marie,Marie William,,"","",,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944432,Rick Held,Individual,Primary,,Rick,Held,,,,,Rick Held,Rick Held,,,Rick,Rick Held,Rick,Rick Held,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944437,Gary Krogfuss,Individual,Primary,,Gary,Krogfuss,,,,,Gary Krogfuss,Gary Krogfuss,,,Gary,Gary Krogfuss,Gary,Gary Krogfuss,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944442,Sarah Roth,Individual,Primary,,Sarah,Roth,,,,,Sarah Roth,Sarah Roth,,,Sarah,Sarah Roth,Sarah,Sarah Roth,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944447,Sam Rogers,Individual,Primary,"",Sam,Rogers,"","",,"",Sam Rogers,Sam Rogers,"","",Sam,Sam Rogers,Sam,Sam Rogers,,"","",,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944452,Nathaniel Toth,Individual,Primary,,Nathaniel,Toth,,,,,Nathaniel Toth,Nathaniel Toth,,,Nathaniel,Nathaniel Toth,Nathaniel,Nathaniel Toth,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944457,Walter Holt,Individual,Primary,"",Walter,Holt,"","",,Douglas,Walter Holt,Walter Holt,"","",Walter,Walter Holt,Walter,Walter Holt,,"","",,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944462,Sterling Field,Individual,Primary,,Sterling,Field,,,,,Sterling Field,Sterling Field,,,Sterling,Sterling Field,Sterling,Sterling Field,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944467,Todd Worman,Individual,Primary,,Todd,Worman,,,,,Todd Worman,Todd Worman,,,Todd,Todd Worman,Todd,Todd Worman,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944472,Sara Wellman,Individual,Primary,,Sara T.,Wellman,,,,,Sara Wellman,Sara Wellman,,,Sara,Sara Wellman,Sara,Sara Wellman,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944477,David Page,Individual,Primary,,David,Page,,,,,David Page,David Page,,,David,David Page,David,David Page,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944482,Luke Moore,Individual,Primary,,Luke,Moore,,,,,Luke Moore,Luke Moore,,,Luke,Luke Moore,Luke,Luke Moore,,,,,,Non Donor,,Subscribe,,"100 acres near 37920, hemp license, 2 doublewides full of worms. Possible boxes to donate for a project here. ",No,,2020-03-19
944487,Alexis Econie,Individual,Primary,,Alexis,Econie,,,,,Alexis Econie,Alexis Econie,,,Alexis,Alexis Econie,Alexis,Alexis Econie,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944492,Josh Sisson,Individual,Primary,,Josh,Sisson,,,,,Josh Sisson,Josh Sisson,,,Josh,Josh Sisson,Josh,Josh Sisson,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944497,Mikayla Prince,Individual,Primary,,Mikayla,Prince,,,,,Mikayla Prince,Mikayla Prince,,,Mikayla,Mikayla Prince,Mikayla,Mikayla Prince,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944502,Matt McAndrews,Individual,Primary,,Matt,McAndrews,,,,,Matt McAndrews,Matt McAndrews,,,Matt,Matt McAndrews,Matt,Matt McAndrews,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944507,Justin Harmon,Individual,Primary,"",Justin Heath,Harmon,"","",,Heath,Justin Harmon,Justin Harmon,"","",Justin,Justin Harmon,Justin,Justin Harmon,,"","",,No valid phone,Non Donor,,UnSubscribe,,,No,,2020-03-19
944512,Carol Linger,Individual,Primary,,Carol,Linger,,,,,Carol Linger,Carol Linger,,,Carol,Carol Linger,Carol,Carol Linger,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944517,Charles Alphonse,Individual,Primary,,Charles,Alphonse,,,,,Charles Alphonse,Charles Alphonse,,,Charles,Charles Alphonse,Charles,Charles Alphonse,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944522,Terrie Martindale,Individual,Primary,,Terrie,Martindale,,,,,Terrie Martindale,Terrie Martindale,,,Terrie,Terrie Martindale,Terrie,Terrie Martindale,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944527,Nick Galloway,Individual,Primary,,Nick,Galloway,,,,,Nick Galloway,Nick Galloway,,,Nick,Nick Galloway,Nick,Nick Galloway,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944532,Mason Cordan,Individual,Primary,,Mason,Cordan,,,,,Mason Cordan,Mason Cordan,,,Mason,Mason Cordan,Mason,Mason Cordan,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944537,Melissa Graves,Individual,Primary,,Melissa,Graves,,,,,Melissa Graves,Melissa Graves,,,Melissa,Melissa Graves,Melissa,Melissa Graves,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944542,John Ferron,Individual,Primary,,John,Ferron,,,,,John Ferron,John Ferron,,,John,John Ferron,John,John Ferron,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944547,Lisa Higginbotham,Individual,Primary,,Lisa,Higginbotham,,,,,Lisa Higginbotham,Lisa Higginbotham,,,Lisa,Lisa Higginbotham,Lisa,Lisa Higginbotham,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944552,Jacob Stevens,Individual,Primary,,Jacob,Stevens,,,,,Jacob Stevens,Jacob Stevens,,,Jacob,Jacob Stevens,Jacob,Jacob Stevens,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944557,Micheal Aubin,Individual,Primary,,Micheal,Aubin,,,,,Micheal Aubin,Micheal Aubin,,,Micheal,Micheal Aubin,Micheal,Micheal Aubin,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944562,REV. Spangler,Individual,Primary,"",REV. Bruce,Spangler,"","",,"",REV. Spangler,REV. Spangler,"","",REV. Bruce,REV. Spangler,REV. Bruce,REV. Spangler,,"",Volunteer Ministry Center,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944572,David Arvin,Individual,Primary,,David,Arvin,,,,,David Arvin,David Arvin,,,David,David Arvin,David,David Arvin,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944577,Bill Tuberville,Individual,Primary,,Bill,Tuberville,,,,,Bill Tuberville,Bill Tuberville,,,Bill,Bill Tuberville,Bill,Bill Tuberville,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944582,Don Williams,Individual,Primary,,Don,Williams,,,,,Don Williams,Don Williams,,,Don,Don Williams,Don,Don Williams,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,,No,,2020-03-19
944587,Jamey Dobbs,Individual,Primary,,Jamey,Dobbs,,,,,Jamey Dobbs,Jamey Dobbs,Gary McCracken,,Jamey,Jamey Dobbs,Jamey,Jamey Dobbs,,,,,No valid address;No valid phone,Non Donor,,Subscribe,,"Hello Neighbors:

Save the Date! On Tuesday, March 10, David Bolt, Founder and Director of the Sustainable Future Center, will join us here in Fourth and Gill to speak on sustainable practices in our urban gardens. This is a great opportunity for us to learn more about sustainability and good environmental practices in our urban setting. David was selected as a White House “Champion of Change in Corporate Environmental Sustainability” in 2012. That award recognized the central theme of David’s life and his career. He has long sought to eliminate waste, promote efficiency, and preserve the world for future generations.
 
The talk is sponsored by Fourth and Gill’s own “Gillbilly Garden Club”. Thanks to Jamey Dobbs who helped arrange for our speaker.  Please come and invite others who might be interested.  
 
Date: Tuesday, March 10th
Time: 6:30-7:30
Place: Central Methodist Church (2nd floor meeting room)

Gabrielle Boudreau",No,,2020-03-19
944592,Hunter Sherwood,Individual,Primary,,Hunter,Sherwood,,,,,Hunter Sherwood,Hunter Sherwood,,,Hunter,Hunter Sherwood,Hunter,Hunter Sherwood,,,,,No valid address,Non Donor,,Subscribe,,,No,,2020-03-19
